"date","hour","total_trips","temp","feels_like","pressure","humidity","wind_speed","cloudiness","precipitation","weather_main","weather_desc"
2024-04-18,0,64,7.26000000000005,3.51000000000005,1008,92,6.71,100,0,"Clouds","overcast clouds"
2024-04-18,1,46,7.09000000000003,4.66000000000003,1009,93,3.58,100,0,"Clouds","overcast clouds"
2024-04-18,2,35,7.06,5.20000000000005,1009,94,2.68,100,0,"Clouds","overcast clouds"
2024-04-18,3,23,7.10000000000002,6.54000000000002,1009,94,1.34,100,0,"Clouds","overcast clouds"
2024-04-18,4,24,7.11000000000001,7.11000000000001,1009,95,0.89,100,0,"Clouds","overcast clouds"
2024-04-18,5,109,7.08000000000004,7.08000000000004,1010,95,0.45,94,0,"Clouds","overcast clouds"
2024-04-18,6,267,7.27000000000004,7.27000000000004,1010,95,0.45,95,0,"Clouds","overcast clouds"
2024-04-18,7,609,7.31,7.31,1011,95,0.45,94,0,"Clouds","overcast clouds"
2024-04-18,8,1428,7.49000000000001,7.49000000000001,1012,95,0.45,88,0,"Clouds","overcast clouds"
2024-04-18,9,807,8.25,8.25,1012,95,0.89,95,0,"Clouds","overcast clouds"
2024-04-18,10,486,9.34000000000003,9.34000000000003,1013,96,0.89,96,0,"Clouds","overcast clouds"
2024-04-18,11,556,10.97,10.5,1014,91,3.58,97,0,"Clouds","overcast clouds"
2024-04-18,12,726,11.17,10.59,1015,86,2.68,98,0,"Clouds","overcast clouds"
2024-04-18,13,710,12.1,11.45,1014,80,4.47,98,0,"Clouds","overcast clouds"
2024-04-18,14,696,12.42,11.68,1015,75,2.68,99,0,"Clouds","overcast clouds"
2024-04-18,15,827,12.25,11.46,1015,74,2.24,99,0,"Clouds","overcast clouds"
2024-04-18,16,1328,12.18,11.33,1016,72,3.58,100,0,"Clouds","overcast clouds"
2024-04-18,17,1913,11.73,10.84,1016,72,2.68,100,0,"Clouds","overcast clouds"
2024-04-18,18,1620,11.72,10.8,1016,71,2.68,100,0,"Clouds","overcast clouds"
2024-04-18,19,1126,11.37,10.44,1017,72,2.24,100,0,"Clouds","overcast clouds"
2024-04-18,20,847,7.47000000000003,4.10000000000002,1009,90,5.81,100,0,"Clouds","overcast clouds"
2024-04-18,21,644,8.19,5.36000000000001,1008,87,4.92,100,0,"Clouds","overcast clouds"
2024-04-18,22,452,8.41000000000003,5.46000000000004,1008,86,5.36,100,0,"Clouds","overcast clouds"
2024-04-18,23,339,7.76000000000005,4.82000000000005,1009,89,4.92,100,4.77,"Rain","heavy intensity rain"
2024-04-19,0,217,8.59000000000003,8.59000000000003,1016,85,0.45,100,0,"Clouds","overcast clouds"
2024-04-19,1,102,8.52000000000004,8.52000000000004,1016,85,1.14,99,0,"Clouds","overcast clouds"
2024-04-19,2,84,8.59000000000003,8.59000000000003,1015,87,1.02,95,0,"Clouds","overcast clouds"
2024-04-19,3,46,8.48000000000002,8.48000000000002,1014,86,0.45,82,0,"Clouds","broken clouds"
2024-04-19,4,43,8.14000000000004,7.22000000000003,1013,88,1.79,90,0,"Clouds","overcast clouds"
2024-04-19,5,101,7.62,7.13,1013,89,1.34,93,0,"Clouds","overcast clouds"
2024-04-19,6,256,7.32000000000005,5.86000000000001,1012,89,2.24,95,0,"Clouds","overcast clouds"
2024-04-19,7,531,7.10000000000002,5.25,1011,90,2.68,96,0,"Clouds","overcast clouds"
2024-04-19,8,878,7.85000000000002,7.39000000000004,1012,89,1.34,94,0,"Clouds","overcast clouds"
2024-04-19,9,415,8.29000000000002,7.40000000000003,1010,89,1.79,100,0,"Clouds","overcast clouds"
2024-04-19,10,261,8.29000000000002,6.12,1008,91,3.58,100,1.22,"Rain","moderate rain"
2024-04-19,11,383,8.25,5.84000000000003,1008,93,4.02,100,0.18,"Rain","light rain"
2024-04-19,12,557,8.39000000000004,5.80000000000001,1008,94,4.47,100,0,"Clouds","overcast clouds"
2024-04-19,13,696,9.76000000000005,7.24000000000001,1008,94,5.14,100,0,"Clouds","overcast clouds"
2024-04-19,14,792,13.22,12.76,1008,83,6.69,75,0,"Clouds","broken clouds"
2024-04-19,15,1004,14.09,13.49,1009,74,4.47,76,0,"Clouds","broken clouds"
2024-04-19,16,1372,14.44,13.51,1009,60,4.47,47,0,"Clouds","scattered clouds"
2024-04-19,17,1865,14.88,13.7,1010,49,4.02,35,0,"Clouds","scattered clouds"
2024-04-19,18,1792,14.52,13.31,1011,49,4.92,29,0,"Clouds","scattered clouds"
2024-04-19,19,1399,12.6,11.14,1012,47,3.58,23,0,"Clouds","few clouds"
2024-04-19,20,847,11,10.09,1016,74,1.34,100,0,"Clouds","overcast clouds"
2024-04-19,21,660,10.4,9.51000000000005,1016,77,0.45,99,0,"Clouds","overcast clouds"
2024-04-19,22,502,9.64000000000004,9.12,1017,79,1.62,100,0,"Clouds","overcast clouds"
2024-04-19,23,402,9.04000000000002,9.04000000000002,1017,82,0.68,100,0,"Clouds","overcast clouds"
2024-04-20,0,281,6.70000000000005,4.46000000000004,1014,63,3.13,59,0,"Clouds","broken clouds"
2024-04-20,1,216,5.57000000000005,4.81,1014,63,1.34,67,0,"Clouds","broken clouds"
2024-04-20,2,157,5.21000000000004,5.21000000000004,1014,65,0.89,61,0,"Clouds","broken clouds"
2024-04-20,3,81,5.35000000000002,4.56,1013,67,1.34,100,0,"Clouds","overcast clouds"
2024-04-20,4,51,5.21000000000004,5.21000000000004,1013,70,0.89,100,0,"Clouds","overcast clouds"
2024-04-20,5,49,5.16000000000003,4.35000000000002,1013,71,1.34,98,0,"Clouds","overcast clouds"
2024-04-20,6,100,5.5,4.73000000000002,1012,69,1.34,97,0,"Clouds","overcast clouds"
2024-04-20,7,241,6.01000000000005,4.76000000000005,1012,63,1.79,98,0,"Clouds","overcast clouds"
2024-04-20,8,432,5.33000000000004,0.0900000000000318,1013,68,9.77,100,0,"Clouds","overcast clouds"
2024-04-20,9,557,4.78000000000003,1.58000000000004,1013,67,4.02,97,0,"Clouds","overcast clouds"
2024-04-20,10,678,4.56,1.58000000000004,1013,66,3.58,88,0,"Clouds","overcast clouds"
2024-04-20,11,668,5.05000000000001,0.689999999999998,1014,64,6.69,75,0,"Clouds","broken clouds"
2024-04-20,12,688,4.94,-1.06,1015,62,12.35,100,0,"Clouds","overcast clouds"
2024-04-20,13,606,4.79000000000002,-0.899999999999977,1015,71,10.8,100,0.8,"Rain","light rain"
2024-04-20,14,760,6.43000000000001,3.61000000000001,1015,63,4.02,92,0,"Clouds","overcast clouds"
2024-04-20,15,858,6.03000000000003,3.65000000000003,1015,66,3.13,100,0,"Clouds","overcast clouds"
2024-04-20,16,859,6.10000000000002,0.850000000000023,1015,59,10.8,100,0,"Clouds","overcast clouds"
2024-04-20,17,916,6.52000000000004,3.96000000000004,1016,53,3.58,99,0,"Clouds","overcast clouds"
2024-04-20,18,837,6.26000000000005,3.93000000000001,1016,53,3.13,99,0,"Clouds","overcast clouds"
2024-04-20,19,755,5.92000000000002,2.74000000000001,1017,53,4.47,99,0,"Clouds","overcast clouds"
2024-04-20,20,502,11.61,10.11,1012,49,4.47,21,0,"Clouds","few clouds"
